1,1,12,25,0,2
2,1,26,14,4,1
3,1,14,12,2,0
4,1,25,26,1,0
5,1,25,14,3,2
6,1,12,26,0,2
7,1,14,25,0,0
8,1,26,12,4,0
9,1,25,12,3,0
10,1,14,26,0,2
11,1,12,14,1,1
12,1,26,25,2,1
13,2,22,3,1,2
14,2,24,28,1,2
15,2,28,22,2,2
16,2,3,24,3,1
17,2,3,28,0,2
18,2,22,24,1,2
19,2,28,3,2,2
20,2,24,22,3,1
21,2,3,22,2,0
22,2,28,24,1,0
23,2,22,28,1,1
24,2,24,3,2,1
25,3,18,32,3,0
26,3,21,2,0,0
27,3,32,21,2,3
28,3,2,18,0,3
29,3,32,2,1,0
30,3,18,21,1,0
31,3,2,32,1,0
32,3,21,18,1,1
33,3,32,18,2,2
34,3,2,21,1,3
35,3,18,2,2,2
36,3,21,32,0,1
37,4,13,1,1,0
38,4,27,19,3,2
39,4,19,13,1,1
40,4,1,27,1,4
41,4,1,19,3,1
42,4,13,27,2,1
43,4,19,1,2,2
44,4,27,13,2,2
45,4,1,13,1,4
46,4,19,27,1,1
47,4,13,19,1,0
48,4,27,1,4,1
49,5,29,23,2,0
50,5,11,16,2,2
51,5,16,29,1,1
52,5,23,11,0,4
53,5,23,16,1,1
54,5,29,11,2,1
55,5,16,23,4,0
56,5,11,29,3,2
57,5,23,29,2,5
58,5,16,11,3,0
59,5,29,16,0,1
60,5,11,23,6,1
61,6,17,5,1,3
62,6,6,31,2,1
63,6,31,17,2,0
64,6,5,6,3,1
65,6,5,31,0,3
66,6,17,6,0,1
67,6,31,5,4,2
68,6,6,17,6,1
69,6,5,17,0,2
70,6,31,6,1,1
71,6,17,31,0,1
72,6,6,5,4,1
73,7,4,30,3,2
74,7,9,7,0,0
75,7,30,9,2,3
76,7,7,4,0,2
77,7,30,7,2,1
78,7,4,9,2,1
79,7,7,30,2,0
80,7,9,4,2,1
81,7,30,4,0,3
82,7,7,9,2,1
83,7,4,7,0,0
84,7,9,30,2,1
85,8,20,15,1,0
86,8,8,10,0,2
87,8,10,20,1,2
88,8,15,8,0,2
89,8,15,10,1,1
90,8,20,8,3,2
91,8,10,15,1,3
92,8,8,20,1,3
93,8,15,20,1,0
94,8,10,8,3,1
95,8,20,10,0,1
96,8,8,15,1,2
